ダウンロードした時刻：2023/08/24 09:56:38

,福井,福井,福井
2023/3/3,晴一時曇,8,1
2023/3/4,晴時々曇、みぞれを伴う,8,1
2023/3/5,曇時々晴,8,1
2023/3/6,晴,8,1
2023/3/7,晴,8,1
2023/3/8,晴時々曇,8,1
2023/3/9,晴後曇,8,1
2023/3/10,曇一時雨後晴、雷を伴う,8,1
2023/3/11,晴,8,1
2023/3/12,曇時々晴,8,1
2023/3/13,雨後時々曇,8,1
2023/3/14,晴,8,1
2023/3/15,晴一時曇,8,1
2023/3/16,曇時々晴後雨,8,1
2023/3/17,曇,8,1
2023/3/18,雨後曇,8,1
2023/3/19,晴一時曇,8,1
2023/3/20,晴,8,1
2023/3/21,曇一時晴後雨,8,1
2023/3/22,晴,8,1
2023/3/23,雨時々曇,8,1
2023/3/24,曇時々雨,8,1
2023/3/25,曇一時雨,8,1
2023/3/26,雨,8,1
2023/3/27,曇時々晴,8,1
2023/3/28,晴一時霧,8,1
2023/3/29,晴,8,1
2023/3/30,晴,8,1
2023/3/31,晴一時曇,8,1
2023/4/1,晴,8,1
2023/4/2,晴,8,1
2023/4/3,晴時々曇,8,1
2023/4/4,晴,8,1
2023/4/5,曇,8,1
2023/4/6,曇時々雨,8,1
2023/4/7,大雨,8,1
2023/4/8,雨時々曇一時晴、雷を伴う,8,1
2023/4/9,晴,8,1
2023/4/10,晴,8,1
2023/4/11,晴,8,1
2023/4/12,雨後曇時々晴,8,1
2023/4/13,晴時々曇,8,1
2023/4/14,曇時々晴,8,1
2023/4/15,雨時々曇,8,1
2023/4/16,曇時々雨一時晴,8,1
2023/4/17,曇一時雨,8,1
2023/4/18,曇後一時雨,8,1
2023/4/19,曇時々晴,8,1
2023/4/20,晴,8,1
2023/4/21,曇時々晴,8,1
2023/4/22,晴,8,1
2023/4/23,晴時々曇,8,1
2023/4/24,曇,8,1
2023/4/25,曇一時晴後雨,8,1
2023/4/26,雨後一時曇,8,1
2023/4/27,晴一時曇,8,1
2023/4/28,晴後一時曇,8,1
2023/4/29,曇時々晴一時雨,8,1
2023/4/30,雨後曇時々晴,8,1
2023/5/1,晴後曇一時雨,8,1
2023/5/2,晴,8,1
2023/5/3,晴後一時曇,8,1
2023/5/4,晴,8,1
2023/5/5,晴後曇時々雨,8,1
2023/5/6,曇後時々雨,8,1
2023/5/7,雨,8,1
2023/5/8,雨後曇時々晴,8,1
2023/5/9,晴一時曇,8,1
2023/5/10,晴後一時曇,8,1
2023/5/11,晴,8,1
2023/5/12,晴後一時曇,8,1
2023/5/13,曇時々晴後雨、雷を伴う,8,1
2023/5/14,雨後曇時々晴,8,1
2023/5/15,雨一時曇後晴、雷を伴う,8,1
2023/5/16,晴,8,1
2023/5/17,晴,8,1
2023/5/18,晴後時々曇,8,1
2023/5/19,雨後時々曇,8,1
2023/5/20,曇時々雨,8,1
2023/5/21,晴時々曇,8,1
2023/5/22,曇後一時雨,8,1
2023/5/23,曇時々雨後晴,8,1
2023/5/24,晴,8,1
2023/5/25,曇後時々晴,8,1
2023/5/26,曇一時雨,8,1
2023/5/27,晴時々曇,8,1
2023/5/28,曇一時晴後一時雨,8,1
2023/5/29,大雨,8,1
2023/5/30,曇一時雨後時々晴,8,1
2023/5/31,曇後晴,8,1
2023/6/1,曇時々晴一時雨,8,1
2023/6/2,大雨,8,1
2023/6/3,晴時々曇,8,1
2023/6/4,晴一時曇,8,1
2023/6/5,晴時々曇,8,1
2023/6/6,曇後一時雨,8,1
2023/6/7,晴後時々曇,8,1
2023/6/8,曇後時々雨,8,1
2023/6/9,曇時々雨,8,1
2023/6/10,曇時々晴,8,1
2023/6/11,雨後時々曇,8,1
2023/6/12,曇一時雨,8,1
2023/6/13,曇時々雨一時晴,8,1
2023/6/14,雨,8,1
2023/6/15,曇後一時雨,8,1
2023/6/16,曇時々雨一時晴,8,1
2023/6/17,晴,8,1
2023/6/18,曇後晴,8,1
2023/6/19,晴,8,1
2023/6/20,晴時々曇,8,1
2023/6/21,曇後一時雨,8,1
2023/6/22,雨後一時曇,8,1
2023/6/23,曇後一時晴,8,1
2023/6/24,曇時々雨,8,1
2023/6/25,晴時々曇,8,1
2023/6/26,曇後一時晴,8,1
2023/6/27,曇,8,1
2023/6/28,曇一時晴後時々雨、雷を伴う,8,1
2023/6/29,雨時々曇,8,1
2023/6/30,大雨時々曇、雷を伴う,8,1
2023/7/1,雨,8,1
2023/7/2,曇一時雨後時々晴,8,1
2023/7/3,晴時々曇,8,1
2023/7/4,晴一時曇,8,1
2023/7/5,雨時々曇,8,1
2023/7/6,曇時々晴,8,1
2023/7/7,曇時々晴,8,1
2023/7/8,雨一時曇,8,1
2023/7/9,曇時々雨,8,1
2023/7/10,晴後曇時々雨、雷を伴う,8,1
2023/7/11,曇一時雨,8,1
2023/7/12,曇時々晴後雨、雷を伴う,8,1
2023/7/13,雨時々曇、雷を伴う,8,1
2023/7/14,曇時々雨,8,1
2023/7/15,曇後時々晴,8,1
2023/7/16,晴,8,1
2023/7/17,晴,8,1
2023/7/18,曇時々晴,8,1
2023/7/19,曇時々雨,8,1
2023/7/20,晴一時雨,8,1
2023/7/21,晴,8,1
2023/7/22,晴,8,1
2023/7/23,晴,8,1
2023/7/24,晴,8,1
2023/7/25,晴,8,1
2023/7/26,晴,8,1
2023/7/27,晴、雷を伴う,8,1
2023/7/28,晴、雷を伴う,8,1
2023/7/29,晴、雷を伴う,8,1
2023/7/30,晴後一時曇,8,1
2023/7/31,曇時々晴、雷を伴う,8,1
2023/8/1,晴、雷を伴う,8,1
2023/8/2,曇時々晴,8,1
2023/8/3,晴一時曇後一時雨,8,1
2023/8/4,晴、雷を伴う,8,1
2023/8/5,晴,8,1
2023/8/6,晴後一時曇,8,1
2023/8/7,曇時々雨一時晴,8,1
2023/8/8,曇時々雨一時晴,8,1
2023/8/9,晴後曇一時雨,8,1
2023/8/10,晴,8,1
2023/8/11,晴,8,1
2023/8/12,晴,8,1
2023/8/13,晴,8,1
2023/8/14,曇後時々雨、雷を伴う,8,1
2023/8/15,雨時々曇,8,1
2023/8/16,曇後雨時々晴、雷を伴う,8,1
2023/8/17,曇時々晴後大雨、雷を伴う,8,1
2023/8/18,曇後一時雨,8,1
2023/8/19,晴時々曇,8,1
2023/8/20,晴、雷を伴う,8,1
2023/8/21,晴、雷を伴う,8,1
2023/8/22,晴後一時曇,8,1
2023/8/23,,8,1
